# 简码词
# 来源：schemas/zhengma/zmsj/zmsj.dict.yaml
# 列：词条	编码	权重	造词码
所以	pz	1	
我们	mn	1	
因为	ju	1	
很多	or	1	
需要	ff	1	
现在	cg	1	
然后	rp	1	
最后	kp	1	
已经	yz	1	
中国	jj	1	
大家	gw	1	
一下	aa	97	
只有	jg	1	
各种	rm	1	
一般	ap	1	
时间	kt	1	
后来	pb	1	
能够	zr	1	
关于	ua	1	
目前	lu	1	
基本	ef	1	
影响	kj	1	
项目	bl	1	
以后	zp	1	
同学	lv	1	
不要	gf	1	
出现	zc	1	
你们	nn	1	
成为	hu	1	
朋友	qg	1	
只要	jf	1	
国家	jw	1	
分析	of	1	
方面	sg	1	
具体	ln	1	
关注	uv	1	
感觉	hv	1	
需求	fd	1	
上面	ig	1	
同样	lf	1	
大学	gv	1	
服务	qr	1	
一定	aw	1	
一起	ab	1	
标准	ft	1	
成本	hf	1	
表现	cc	1	
北京	ts	2	
具有	lg	1	
决定	tw	1	
事情	du	1	
形成	ah	1	
帮助	cl	1	
练习	zt	1	
新的	sd	1	
如此	zi	1	
基金	ep	1	
上海	iv	2	
大量	gk	1	
成绩	hz	1	
它们	wn	1	
对比	xr	1	
解决	rt	1	
得到	oh	1	
资料	tu	1	
广告	tm	1	
条件	rn	1	
经济	zv	1	
银行	po	1	
复杂	mq	1	
到底	ht	1	
合作	on	1	
期间	et	1	
资金	tp	1	
某些	ei	1	
政府	at	1	
科学	mv	1	
强大	yg	1	
全国	oj	1	
反应	pt	1	
丰富	cw	1	
费用	yl	1	
专门	bt	1	
中间	jt	1	
满足	vj	1	
总之	uw	1	
学院	vy	1	
现代	cn	1	
肌肉	ql	1	
配合	fo	1	
态度	gt	1	
结束	zf	1	
推广	dt	1	
皮肤	xq	1	
上班	ic	1	
参与	za	1	
彻底	ot	1	
办法	yv	1	
很快	ou	1	
战斗	it	1	
上述	iw	1	
矛盾	xp	1	
月份	qn	1	
整理	fc	1	
感到	hh	1	
预测	xv	1	
做法	nv	1	
表演	cv	1	
高度	st	1	
尤其	ge	1	
成长	hc	1	
发挥	zd	1	
最佳	kn	1	
快乐	ur	1	
性质	up	1	
常用	kl	1	
严重	am	1	
国产	js	1	
飞机	yf	1	
各类	ru	1	
周围	lj	1	
战术	if	1	
执行	do	1	
及其	ye	1	
规模	bf	1	
增长	bc	1	
开展	ax	1	
状况	tt	1	
相反	fp	1	
频繁	im	1	
采取	pc	1	
争取	rc	1	
现金	cp	1	
举行	vo	1	
现状	ct	1	
后悔	pu	1	
当成	kh	1	
喜爱	bp	1	
指挥	dd	1	
提取	dc	1	
为此	ui	1	
扩大	dg	1	
天津	av	2	
所需	pf	1	
重大	mg	1	
举报	vd	1	
要点	fi	1	
实用	wl	1	
又能	xz	1	
各地	rb	1	
清理	vc	1	
此后	ip	1	
先后	mp	1	
中华	jn	1	
干部	as	1	
友好	gz	1	
北京市	ts	1	
公共	oe	1	
公斤	op	1	
除外	yr	1	
事务	dr	1	
以便	zn	1	
打败	dl	1	
此刻	is	1	
忽视	rw	1	
应付	tn	1	
反射	pn	1	
档案	fw	1	
平静	ac	1	
上级	iz	1	
几百	qa	1	
上海市	iv	1	
占用	il	1	
朝着	eu	1	
幅度	lt	1	
上层	ix	1	
情报	ud	1	
外汇	rv	1	
上半年	iu	1	
下半年	au	1	
解散	re	1	
钢铁	pp	1	
共计	es	1	
增值	bn	1	
既要	xf	1	
五月	bq	2	
几时	qk	1	
一月	aq	1	
会见	ol	1	
天津市	av	1	
六月	sqa	2	
动员	bj	1	
胜过	qw	1	
督促	in	1	
九月	qqa	2	
内脏	lq	1	
三月	cqa	1	
十月	eqa	2	
七月	hqa	1	
四月	lqa	1	
整顿	fh	1	
八月	oqa	1	
风波	qv	1	
出面	zg	1	
面貌	gp	1	
杂质	qp	1	
职员	cj	1	
民航	yp	1	
成份	hn	1	
二月	bq	1	
分清	ov	1	
十一月	eaq	1	
职权	cf	1	
十二月	ebq	2	
次要	tf	1	
成套	hg	1	
几经	qz	1	
名胜	rq	1	
备有	rg	1	
栽种	em	1	
决胜	tq	1	
得胜	oq	1	
